cliente,n_operaciones,n_vigentes,monto_total,saldo_total,plazo_prom,tasa_prom,patrimonio_tec,max_dias_mora,oficina,tipo_credito,garantia,sexo,calificacion_riesgo,antiguedad_max_dias,dias_hasta_ultimo_venc,riesgo_actual
606,2,2,9100,7945.31,48.0,14.59,32827.0,0,1,CONSUMO,PERSONAL,M,A1,377,2185,0
612,2,2,16900,16354.06,60.0,15.19,144273.0,0,1,CONSUMO,PERSONAL,F,A1,161,2155,0
1338,3,3,192000,177010.4,104.0,13.409999999999998,262915.0,1,1,CONSUMO,HIPOTECA,F,A1,915,3468,1
1577,2,2,18000,12736.21,75.0,14.995000000000001,106926.0,0,1,CONSUMO,DPF,F,A1,1240,1302,0
1640,2,2,30000,25211.57,72.0,14.245000000000001,38000.0,0,5,CONSUMO,PERSONAL,M,A1,923,1811,0
2740,2,2,16000,14289.150000000001,48.0,14.54,54635.0,0,1,CONSUMO,PERSONAL,F,A1,322,1720,0
2894,4,4,19900,18705.23,196.5,14.7225,9546.0,0,1,CONSUMO,DPF,F,A1,321,1512,0
3080,2,2,60500,52039.14,72.0,16.95,86081.0,0,2,MICROCRÉDITO,HIPOTECA,F,A1,716,2028,0
3083,2,2,112000,70085.47,48.0,11.795,630700.0,0,1,CONSUMO,HIPOTECA,F,A1,588,1126,0
3100,2,2,16100,14596.470000000001,43.5,12.59,26763.0,0,1,CONSUMO,HIPOTECA,M,A1,390,2058,0
3988,2,2,3000,2279.8199999999997,139.0,15.0,278814.0,0,10,CONSUMO,DPF,F,A1,195,218,0
4118,2,2,34000,19872.870000000003,42.0,12.52,129590.0,0,1,CONSUMO,HIPOTECA,F,A1,924,903,0
4126,2,2,9900,5502.540000000001,42.0,14.49,74042.0,0,6,CONSUMO,PERSONAL,M,A1,1181,1009,0
4204,2,2,17520,15264.630000000001,102.0,11.845,19247.0,0,1,CONSUMO,HIPOTECA,F,A1,977,3406,0
4358,2,2,18000,14679.36,194.5,14.5,42050.0,0,5,CONSUMO,DPF,F,A1,307,910,0
4498,2,2,7900,3996.58,175.0,14.5,57500.0,0,10,CONSUMO,DPF,F,A1,560,170,0
4599,2,2,41350,30698.01,54.0,15.09,335269.0,0,1,CONSUMO,PERSONAL,F,A1,1252,1305,0
4646,2,2,9000,6687.38,42.0,16.09,4259.0,0,1,MICROCRÉDITO,PERSONAL,F,A1,793,1034,0
4876,2,2,21500,17720.120000000003,78.0,15.344999999999999,27950.0,0,1,CONSUMO,PERSONAL,F,A1,1052,2455,0
5052,2,2,47000,35034.21,86.0,12.445,77595.05,0,1,CONSUMO,HIPOTECA,F,A1,1455,2197,0
5146,2,2,61800,50393.2,90.0,12.52,41240.0,0,2,CONSUMO,HIPOTECA,M,A1,1071,2562,0
5208,2,2,26000,18132.58,72.0,13.99,65000.0,0,2,CONSUMO,PERSONAL,M,A1,1346,1776,0
5281,2,2,9200,5453.3099999999995,39.0,15.344999999999999,45215.0,0,1,CONSUMO,PERSONAL,M,A1,903,1045,0
5597,2,2,11500,5353.47,42.0,15.75,3090.0,0,2,CONSUMO,PERSONAL,M,A1,813,1379,0
5836,2,2,31200,28343.81,66.0,14.49,70553.0,0,1,CONSUMO,PERSONAL,F,A1,450,2126,0
5862,2,2,37100,30683.5,84.0,11.795,52557.0,0,1,CONSUMO,HIPOTECA,M,A1,1183,3196,0
5940,2,2,35500,27977.940000000002,57.0,16.65,212635.0,0,1,MICROCRÉDITO,PERSONAL,F,A1,684,1785,0
6271,2,2,20000,11116.73,66.0,14.695,57273.0,0,1,CONSUMO,PERSONAL,M,A1,1062,1496,0
6796,2,2,8000,3634.0699999999997,39.0,14.440000000000001,9972.0,0,1,CONSUMO,PERSONAL,F,A1,1182,633,0
6888,2,2,13000,4471.99,50.0,15.245000000000001,10470.0,0,1,CONSUMO,PERSONAL,M,A1,1293,533,0
7046,2,2,19000,11726.039999999999,60.0,15.09,20713.0,0,1,CONSUMO,PERSONAL,M,A1,1303,1321,0
7148,2,2,48550,47237.37,86.0,12.495000000000001,68067.89,0,1,CONSUMO,DPF,M,A1,245,4138,0
7311,2,2,35000,27871.32,72.0,14.745000000000001,30000.0,0,1,CONSUMO,PERSONAL,M,A1,950,1606,0
7357,3,3,40100,25884.14,68.0,13.276666666666666,56483.0,0,1,CONSUMO,PERSONAL,M,A1,1307,2368,0
7543,3,3,11860,4784.95,32.0,14.893333333333333,41447.0,0,7,CONSUMO,PERSONAL,F,A1,1128,691,0
7620,2,2,40000,32972.76,90.0,13.299999999999999,67100.0,0,1,INMOBILIARIO,HIPOTECA,M,A1,1227,2426,0
7961,2,2,27000,18062.84,72.0,14.440000000000001,47934.0,0,1,CONSUMO,HIPOTECA,F,A1,1374,1520,0
8303,2,2,45000,35180.92,60.0,11.99,82276.0,0,1,CONSUMO,HIPOTECA,M,A1,223,2358,0
8377,2,2,29000,19313.06,84.0,11.844999999999999,34859.0,0,1,CONSUMO,HIPOTECA,M,A1,1258,2383,0
8600,2,2,32000,17173.02,54.0,15.09,43958.0,0,1,CONSUMO,PERSONAL,M,A1,1430,1332,0
8626,2,2,6250,5999.03,30.5,15.395,6056.0,0,1,CONSUMO,PERSONAL,M,A1,161,1674,0
8822,2,2,51000,43111.59,49.0,17.5,40334.0,0,1,MICROCRÉDITO,PERSONAL,M,A1,1251,2434,0
8913,2,2,25500,18949.74,48.0,14.99,106900.96,0,4,CONSUMO,HIPOTECA,F,A1,489,985,0
9049,2,2,25000,20749.68,84.0,11.92,77460.0,0,1,CONSUMO,HIPOTECA,F,A1,1017,2609,0
9284,2,2,20900,12502.669999999998,60.0,15.245000000000001,122069.0,0,1,CONSUMO,PERSONAL,M,A1,742,1601,0
9384,2,2,7000,5425.45,39.0,14.49,40819.0,0,1,CONSUMO,PERSONAL,F,A1,590,1255,0
9998,2,2,13500,4095.23,42.0,14.745000000000001,23515.0,0,1,CONSUMO,PERSONAL,M,A1,1039,392,0
10036,2,2,22300,20619.79,35.0,17.34,94320.0,0,2,CONSUMO,HIPOTECA,F,A1,707,1734,0
10125,2,2,13400,13063.93,60.0,16.95,29441.0,0,1,MICROCRÉDITO,PERSONAL,F,A1,212,2529,0
10201,4,4,32000,16471.23,72.0,13.557500000000001,252177.0,0,1,CONSUMO,PERSONAL,M,A1,1065,3288,0
10458,2,2,30000,29318.02,217.0,15.094999999999999,80000.0,0,1,CONSUMO,DPF,F,A1,299,2385,0
10515,2,2,15000,8982.46,36.0,14.59,42911.0,0,1,CONSUMO,PERSONAL,F,A1,887,772,0
10527,2,2,4500,4500.0,366.5,15.0,179000.0,0,1,CONSUMO,DPF,F,A1,154,219,0
10724,2,2,52000,45831.5,132.0,9.844999999999999,60000.0,0,1,INMOBILIARIO,HIPOTECA,F,A1,1279,4367,0
10862,4,4,8600,8600.0,669.5,14.875,14200.0,0,1,CONSUMO,DPF,F,A1,740,352,0
10924,2,2,28000,12898.61,90.0,11.92,102469.0,0,1,CONSUMO,HIPOTECA,M,A1,758,2892,0
10984,2,2,38900,28008.769999999997,66.0,15.6,114370.0,0,1,CONSUMO,PERSONAL,F,A1,1108,1449,0
11115,2,2,19400,18301.83,54.0,14.59,24100.0,0,5,CONSUMO,PERSONAL,M,A1,138,1685,0
11235,2,2,13000,6764.68,42.0,14.395,22060.0,0,2,CONSUMO,PERSONAL,M,A1,1175,649,0
11472,2,2,163000,161245.49,96.0,14.54,179216.53,0,1,CONSUMO,HIPOTECA,F,A1,168,4319,0
11484,2,2,25000,22031.85,72.0,14.49,63614.0,0,1,CONSUMO,PERSONAL,F,A1,531,2028,0
11550,3,3,20273,17794.36,419.0,14.163333333333334,172000.0,0,5,CONSUMO,DPF,F,A1,714,1435,0
11583,2,2,10000,1368.25,10.5,14.54,23546.0,5,1,CONSUMO,PERSONAL,F,A1,370,181,1
12140,3,3,158600,127142.97,100.0,13.343333333333334,100000.0,0,1,CONSUMO,HIPOTECA,M,A1,1404,3296,0
12205,2,2,21500,15678.42,42.0,16.095,43042.0,0,4,CONSUMO,PERSONAL,M,A1,1029,1440,0
12211,2,2,26000,21312.5,42.0,15.489999999999998,15000.0,0,8,CONSUMO,PERSONAL,M,A1,588,1601,0
12381,2,2,9000,3914.8,48.0,16.09,33505.0,6,1,CONSUMO,PERSONAL,M,A1,1160,760,1
12840,2,2,14000,5443.78,11.0,17.75,42263.0,0,1,MICROCRÉDITO,PERSONAL,F,A1,1431,395,0
13381,2,2,55000,50184.68,60.0,14.995000000000001,426331.0,0,2,CONSUMO,HIPOTECA,M,A1,275,1576,0
13521,2,2,43500,43109.28,144.0,9.99,49957.0,0,1,INMOBILIARIO,HIPOTECA,M,A1,146,4342,0
13582,2,2,78000,69399.69,92.0,11.92,163907.37,0,5,CONSUMO,HIPOTECA,F,A1,945,3448,0
14063,2,2,17900,10096.02,42.0,14.745000000000001,76854.0,0,1,CONSUMO,PERSONAL,F,A1,1037,771,0
14376,2,2,14000,11537.029999999999,54.0,14.49,18397.0,0,1,CONSUMO,PERSONAL,M,A1,518,1632,0
14616,2,0,26900,2.0,15.0,15.989999999999998,65288.0,465,1,CONSUMO,PERSONAL,M,E,1430,-979,1
15369,2,2,18000,12764.71,66.0,14.49,24030.0,0,1,CONSUMO,PERSONAL,F,A1,1295,1262,0
15551,2,2,41000,35696.85,72.0,14.440000000000001,97682.0,0,1,CONSUMO,HIPOTECA,F,A1,610,1954,0
15600,2,2,55000,46444.869999999995,96.5,11.844999999999999,163743.0,0,2,CONSUMO,HIPOTECA,F,A1,1249,3141,0
15692,2,2,16200,13825.05,24.0,14.54,97009.0,0,2,CONSUMO,PERSONAL,M,A1,320,726,0
15694,2,2,25000,8080.94,42.0,15.844999999999999,92850.0,0,1,CONSUMO,PERSONAL,M,A1,1405,705,0
15954,2,2,22000,8916.5,54.0,14.99,65026.0,0,1,CONSUMO,PERSONAL,M,A1,1231,1326,0
16510,2,2,90000,59285.770000000004,66.0,16.5,200000.0,0,1,CONSUMO,HIPOTECA,M,A1,1150,1458,0
16660,2,2,25000,17115.1,87.0,15.245000000000001,15599.0,0,2,CONSUMO,PERSONAL,M,A3,1428,1615,0
16753,2,2,29900,29047.81,37.0,16.845,83074.0,0,2,CONSUMO,PERSONAL,M,A1,308,2248,0
16765,2,2,30500,27280.25,72.0,14.49,21470.0,0,2,CONSUMO,PERSONAL,M,A1,544,2014,0
16919,2,2,22000,16967.35,60.0,15.695,70927.0,0,2,CONSUMO,PERSONAL,M,A1,819,1499,0
16969,2,2,2500,2400.3199999999997,138.0,18.744999999999997,60066.0,0,2,CONSUMO,DPF,M,A1,175,646,0
17001,2,2,30000,20564.02,12.0,16.244999999999997,46390.0,0,3,MICROCRÉDITO,PERSONAL,M,A1,1352,1205,0
17117,2,2,51000,27021.559999999998,54.0,9.844999999999999,106625.0,0,3,INMOBILIARIO,HIPOTECA,M,A1,1160,1223,0
17260,2,2,40800,34769.05,66.0,16.65,78153.0,0,3,CONSUMO,PERSONAL,M,A1,762,1846,0
17277,2,2,15000,15000.0,160.5,15.0,144050.0,0,3,CONSUMO,DPF,F,A1,86,110,0
17286,2,2,20000,18116.96,8.0,15.845,31300.0,0,4,CONSUMO,PERSONAL,F,A1,306,1265,0
17292,2,2,21700,18960.7,66.0,15.09,11823.0,0,3,CONSUMO,PERSONAL,F,A1,653,1905,0
17359,2,2,10650,10650.0,6.5,17.05,18181.0,0,3,CONSUMO,PERSONAL,F,A1,94,2098,0
17403,2,2,15000,8799.14,36.0,14.695,60260.0,0,3,CONSUMO,PERSONAL,F,A1,909,771,0
17433,2,2,18500,2463.0299999999997,36.0,14.99,158101.14,0,7,CONSUMO,PERSONAL,M,A1,561,950,0
17464,2,2,4200,2455.83,36.0,14.59,43007.0,0,3,CONSUMO,PERSONAL,F,A1,833,628,0
17583,2,2,63000,56528.7,84.0,15.09,315049.0,0,3,CONSUMO,PERSONAL,M,A1,646,2518,0
17678,2,2,14000,11477.56,48.0,14.745000000000001,67914.52,0,4,CONSUMO,PERSONAL,F,A1,526,1318,0
17959,2,2,23500,18615.09,60.0,16.345,80210.0,0,7,CONSUMO,PERSONAL,M,A1,777,1980,0
18206,2,2,17100,6838.889999999999,42.0,14.844999999999999,87217.63,0,4,CONSUMO,PERSONAL,M,A1,1203,1090,0
18240,2,2,13000,10248.83,54.0,15.344999999999999,16486.0,0,4,CONSUMO,PERSONAL,F,A1,811,1665,0
